,order_date,sku,online_brand,online_name,online_category,online_subcategory,total_qty_ordered,total_qty_returned,total_qty_refunded,total_qty_canceled,unit_original_price,unit_sale_price_exc_vat,total_nmv_exc_vat,discount_amt_bfr_CR,total_discount_amount,total_discount_coupon,total_discount_on_top,total_amount_the1_reedeem,GP
1,30/5/2022,84028723,XIAOMI,MI SMART BAND 6,gadgets-tech,wearable-gadgets,6,1,1,0,3099,1112.15,5560.75,0,0,NA,NA,0,516.25
2,9/9/2021,16997516,LAMY,314 Rollerball  Pens Safari  M M63bl Blue,jewelry-watches,pens,5,0,0,4,600,560.75,560.75,0,0,NA,NA,0,157.01
3,26/12/2021,20320171,Coolpets,ที่นอนสัตว์เลี้ยง 80X58WHBL,home,pets,1,0,0,0,850,397.2,397.2,0,0,NA,NA,0,118.02
4,27/9/2021,16814516,CERTAINTY,Super Pants Super Save L 20 pcs x 4 pack,home,eldery-care,19,0,0,0,1624,1400.93,21890.6,4727.07,4727.07,2857.91,1869.16,0,-246.25
5,6/1/2022,632103,XIAOMI,White HL Aromatherapy Diffuser Pro Air Humidifier 360ml.,sports,equipments,1,0,0,0,1790,1331.78,1331.78,0,0,NA,NA,0,NA
6,30/5/2022,70777901,LEGO,Classic Creative Transparent Bricks 11013 Multi-Color,tion-campaign,flash-deal-7-jul-22,1,0,0,0,1120,732.71,659.44,73.27,73.27,NA,NA,0,115.67
7,17/3/2022,MJT50084487,MUJI,Cloth For Glasses 14 Sheet 5816446088 White,women,eyewear,5,0,0,1,35,32.71,120.78,10.06,10.06,NA,NA,7.69,NA
8,11/10/2021,790776,PLAYBOY,Black  Waist bag ST-BS212PB041-BK,sports,accessories,1,0,0,0,1445,943.93,943.93,0,0,NA,NA,0,222.2
9,3/3/2022,86025966,PHILIPS LIGHTING,กล่องฆ่าเชื้อแสงUVC MINI WH,tion-campaign,flash-deal-2-jul-22,1,0,0,0,1990,1485.98,1360.06,125.92,125.92,NA,NA,54.05,245.57
10,6/4/2022,920895,Hospro,Hospro H-WSL014 Walking Stick Black,home,eldery-care,3,0,0,1,1250,887.85,1775.7,0,0,NA,NA,0,228
11,30/4/2022,790753,PLAYBOY,Yellow  Crossbody bag ST-BS211PB040-YE,sports,accessories,3,0,0,0,3490,978.5,2870.36,65.14,65.14,NA,NA,15,691.02
12,9/3/2022,323034,GRANDSPORT,Badminton Spirito (303105),sports,equipments,2,0,0,1,400,214.02,214.02,0,0,NA,NA,0,27.48
13,11/2/2022,15405272,lesasha,เครื่องหนีบผม Extra Long รุ่น LS0911,tion-campaign,flash-deal-8-jun-22-2,17,0,0,0,820,457.94,5770.99,2013.99,2013.99,1428.03,585.96,0,1593.07
14,29/10/2021,21464225,SANRIO,กล่องใส่แว่นตา LALA EYE GLASSE,women,eyewear,1,0,0,0,695,447.66,395.57,52.09,52.09,NA,NA,0,122.63
15,3/2/2022,14116568,PIGEON,BABY WIPES CHAMOMILE 82 PCS P9,tion-campaign,flash-deal-7-jul-22,11,0,0,1,555,518.69,4957.09,229.81,229.81,NA,NA,35,1450.19
16,12/12/2021,14116568,PIGEON,BABY WIPES CHAMOMILE 82 PCS P9,tion-campaign,flash-deal-7-jul-22,966,0,0,90,555,363.55,259205.96,63468.79,59263.84,27226.7,13257.82,2895.8,39727.08
17,11/5/2022,1152758,PLAYSTATION,PlayStation 5 Disc Edition Console (JP Zone)(PS5 Disc Edition Console)(เครื่อง Ps5 รุ่นใส่แผ่นได้),tion-campaign,flash-deal-7-jul-22,1,0,0,0,32890,30271.03,30271.03,0,0,NA,NA,0,1619.5
18,9/10/2021,21733109,CERAVE,Facial Moisturizing Lotion 1.75 oz,tion-campaign,flash-deal-7-jul-22,2,0,0,0,550,436.92,774.77,99.07,99.07,NA,NA,0,187.96
19,10/10/2021,801238,XIAOMI,Black Electric Shaver Black Stone 3D Electric Shaver,beauty,mens-grooming,3,0,0,1,990,354.21,708.42,0,0,NA,NA,0,79.59
20,3/3/2022,83597169,MILK PLUS & MORE,Banana Blossom Drink with Dates Palm Juice 40% - Original Purplish Red 250 mL,kids,maternity,1,0,0,0,89,83.18,83.18,0,0,NA,NA,0,35.34
21,14/12/2021,16273740,PiPPER STANDARD,น้ำยาล้างจานถุงเติมกลิ่นซิตรัส,tion-campaign,flash-deal-5-jul-22,17,0,0,0,169,157.94,1377.34,1307.64,1307.64,331.68,21.7,0,993.47
22,8/9/2021,611893,ADIDAS,ADIDAS NOT SPORTS SPECIFIC adidas Essentials Tee Girls,sports,apparels,2,1,1,0,700,196.26,196.26,0,0,NA,NA,0,50.4
23,9/9/2021,21486029,BIODERMA,Sensibio H20 250 mL. Twin Pack,beauty,mens-grooming,37,1,1,9,1580,738.32,18839.48,1188.36,1095.16,85.85,322.13,0,5946.98
24,22/4/2022,83737305,KERASTASE,Dry and Frizzy Hair care Overnight Serum 90 mL. - 8H Magic Night Serum,tion-campaign,flash-deal-7-jul-22,8,0,0,0,1595,1342.06,10125.01,611.47,611.47,268.42,343.07,0,2520.77
25,9/11/2021,365886,DANIEL WELLINGTON,Petite Melrose 28mm Rose Gold Watch,tion-campaign,flash-deal-7-jul-22,2,0,0,0,5150,4091.59,7199.47,983.71,983.71,NA,NA,92.78,1926.32
26,19/11/2021,46241733,marks___spencer_online,Redcurrant Puff,home,groceries-2,2,0,0,0,169,110.56,221.12,0,0,NA,NA,0,221.12
27,8/9/2021,14116568,PIGEON,BABY WIPES CHAMOMILE 82 PCS P9,tion-campaign,flash-deal-7-jul-22,483,0,0,67,555,362.62,135234.3,18008.9,15615.62,NA,NA,909.32,32048.89
28,27/1/2022,85020382,VICHY,Mineral 89 Probiotic Fractions 30 mL,tion-campaign,flash-deal-3-jul-22,2,0,0,1,1500,1121.5,1053.53,147.41,67.97,NA,NA,85,333.59
29,8/9/2021,86063005,GRABFOOD,[Pre-Order]Grab Food E-Coupon 100 for Minimum order 300thb,gift-with-purchase,others,28,0,0,13,100,8.41,126.15,0,0,NA,NA,0,126.15
30,31/10/2021,766636,ADIDAS,ADIDAS TRAINING AEROREADY Baseball Cap Unisex,sports,accessories,5,0,0,1,550,190.65,762.6,0,0,NA,NA,0,97.92
31,10/9/2021,14116568,PIGEON,BABY WIPES CHAMOMILE 82 PCS P9,tion-campaign,flash-deal-7-jul-22,692,21,21,64,555,362.62,174487.53,50428.86,45622.81,32294.07,13592.68,1059.97,23967.08
32,7/6/2022,92016552,GIORGIO_ARMANI,ARMANI CODE DONNA EDP 75,beauty,mens-grooming,6,0,0,1,4400,3700.93,16052.05,2822.69,2452.6,817.94,756.88,131.31,1763.35
33,15/5/2022,88783321,SANRIO,Mirror Brush Set Hello Kitty Pink,women,personal-accessories,2,0,0,1,350,277.57,254.66,22.91,22.91,NA,NA,0,152.6
34,9/12/2021,34241332,CUIZIMATE,กล่องอเนกประสงค์P4สีใส OL,tion-campaign,flash-deal-8-jun-22-2,7,0,0,0,995,279.44,1936.52,19.56,19.56,NA,NA,0,2878.65
35,19/11/2021,7521324,LAMOON,Organic Breast Therapy Pack,kids,maternity,6,0,0,0,420,392.52,1567.78,787.34,787.34,478.67,87.17,0,468.34
36,28/5/2022,33021232,la_roche_posay_online,EFFACLAR SERUM 30 ML,tion-campaign,flash-deal-2-jul-22,8,0,0,1,1300,911.21,4594.98,2037.01,1783.49,499.41,104.58,10.55,1947.74
37,13/10/2021,MJT51335236,MUJI,Highlighter HILIGHTCAP ,jewelry-watches,pens,1,0,0,0,19,17.76,17.76,0,0,NA,NA,0,NA
38,4/4/2022,21482717,CENTRAL HOME,SPIN MOP,tion-campaign,flash-deal-7-jul-22,16,0,0,0,1290,372.9,5966.4,0,0,NA,NA,0,2531.05
39,7/1/2022,880051,LEE,MEN'S BELT LE L1802002 BROWN,men,belts-suspenders,1,0,0,0,990,740.19,740.19,0,0,NA,NA,0,174.24
40,11/11/2021,825580,ADIDAS,ADIDAS TRAINING HEAT.RDY Training Shorts Men,sports,apparels,2,0,0,1,1600,553.27,553.27,0,0,NA,NA,0,71.04
41,20/12/2021,2203881,TANITA,Digital Kitchen Scale KD-321 Sliver,tion-campaign,flash-deal-6-jul-22,4,0,0,0,2100,1299.07,5005.62,190.66,190.66,NA,NA,65,930.3
42,25/5/2022,86265768,LAURA_MERCIER,Set For Perfection Translucent Loose Setting Powder & Puff Translucent,tion-campaign,flash-deal-6-jul-22,97,8,0,4,2440,1059.81,93280.6,5387.71,5281.73,1017.42,2034.12,100,36839.14
43,15/1/2022,16814479,CERTAINTY,กางเกงอนามัย Day Pants ไซส์ XL จำนวน 26 ชิ้น x 4 แพ็ค (ยกลัง),home,eldery-care,88,0,0,0,1799,1565.42,117829.73,19927.23,19927.23,NA,NA,0,10480.05
44,11/1/2022,33021232,la_roche_posay_online,EFFACLAR SERUM 30 ML,tion-campaign,flash-deal-2-jul-22,7,0,0,1,1300,911.21,5024.66,442.6,442.6,NA,NA,65.63,1649.01
45,20/9/2021,23592605,NIKE,W DF SWSH 1PP BRA BK M,sports,apparels,2,0,0,0,1300,602.8,1004.53,201.07,201.07,NA,NA,0,-331.83
46,9/12/2021,12002689,AESOP,Moroccan Neroli Post-Shave Lotion 60 mL,beauty,mens-grooming,1,0,0,0,1800,1682.24,1682.24,0,0,NA,NA,0,594.67
47,31/10/2021,83548062,GARMIN,FORERUNNER 55 BLACK,gadgets-tech,wearable-gadgets,1,0,0,0,6790,6345.79,6158.87,186.92,186.92,NA,NA,200,764.94
48,18/10/2021,4130147,BIOTHERM,HOMME T-Pur Cleanser Unclogging Purifying Cleanser 125 mL HOMME โฟมล้างหน้าสำหรับผู้ชาย T-Pur Cleanser Unclogging Purifying Cleanser ขนาด 125 มล.,beauty,mens-grooming,1,0,0,0,950,799.07,799.07,0,0,NA,NA,0,182.06
49,27/9/2021,74368112,NIKE,NIKE WEARALLDAY PS NA 6C,kids,kids-shoes,2,0,0,0,1500,556.07,936.6,175.54,175.54,NA,NA,0,-605.34
50,8/5/2022,761946,her_hyness,ROYAL HYA WATER SUNSCREEN SPF 50+ PA++++  30 ML.,tion-campaign,flash-deal-6-jul-22,5,0,0,1,1490,1392.52,5570.08,0,0,NA,NA,0,1311.2
51,16/10/2021,78285262,CERTAINTY,Certainty Tape Super Save Box Size L 96 Pcs.,home,eldery-care,1,0,0,0,1599,1400.93,1400.93,0,0,NA,NA,0,230.7
52,13/12/2021,868726,ADIDAS,ADIDAS RUNNING Own the Run Tee Men Grey,sports,apparels,6,0,0,1,1000,280.37,1401.85,0,0,NA,NA,0,180
53,7/12/2021,734058,ADIDAS,ADIDAS TRAINING Freelift Ultimate AEROREADY Designed 2 Move Sport Tee Men,sports,apparels,3,0,0,0,800,276.64,829.92,0,0,NA,NA,0,106.56
54,27/12/2021,31138901,CONVERSE,หมวกเบสบอลแคป,men,hats-caps,1,0,0,0,490,457.94,402.9,55.04,55.04,NA,NA,58.89,59.44
55,1/12/2021,14116568,PIGEON,BABY WIPES CHAMOMILE 82 PCS P9,tion-campaign,flash-deal-7-jul-22,8,0,0,0,555,518.69,4045.78,103.74,103.74,NA,NA,0,1240.26
56,10/9/2021,70756074,HAVEN BATHTOWEL,เครื่องชั่งDIGITAL BG260BK,gadgets-tech,wearable-gadgets,10,0,0,1,1250,279.44,2405.77,109.19,109.19,73.19,36,0,4957.27
57,24/2/2022,84040022,SANRIO_LOCAL,สายคล้องหน้ากากTS MASKSTRAP 2,women,personal-accessories,2,0,0,0,179,83.18,166.36,0,0,NA,NA,0,122.36
58,15/1/2022,25579,REEBOK,Blue Reebok Yoga Mat - 4mm,sports,equipments,4,0,0,1,690,316.82,950.46,0,0,NA,NA,0,96.63
59,6/4/2022,86042062,SANRIO,หวีPI D CUT COMB MP,women,personal-accessories,1,0,0,0,195,182.24,164.02,18.22,18.22,NA,NA,0,98.63
60,8/10/2021,21486029,BIODERMA,Sensibio H20 250 mL. Twin Pack,beauty,mens-grooming,2,0,0,0,1580,738.32,1476.64,0,0,NA,NA,0,521.64
61,18/1/2022,17062237,Lifree,Rehabili Pants White Size L ,home,eldery-care,3,0,0,0,1647,1400.93,3922.61,280.18,280.18,NA,NA,0,224.15
62,22/11/2021,690388,DEERMA,White Vacuum Cleaner CM800,tion-campaign,flash-deal-7-jul-22,6,5,5,0,2290,933.64,933.64,0,0,NA,NA,0,419.58
63,18/12/2021,17062220,Lifree,Rehabili Pants White Size M ,home,eldery-care,3,0,0,0,1647,1400.93,3642.03,560.76,560.76,NA,NA,0,543.57
64,14/1/2022,17062244,Lifree,Rehabili Pants White Size XL ,home,eldery-care,4,0,0,0,1647,1400.93,5323.53,280.19,280.19,NA,NA,0,392.25
65,6/1/2022,40097,ADIDAS,Red Adidas Fitness Mat - 7mm,sports,equipments,1,0,0,0,1290,964.49,964.49,0,0,NA,NA,0,98.04
66,30/4/2022,25833096,MERRIES,PANT ULTRA JUMBO SIZEXXL 32 X2,tion-campaign,flash-deal-3-jul-22,5,0,0,0,1158,1014.02,4839.59,230.51,230.51,NA,NA,0,1122.25
67,12/10/2021,8451903,PIGEON,Honeycomb facial milk pads 60 Lemon,kids,maternity,1,0,0,0,189,123.36,92.62,30.74,30.74,24.59,6.15,0,7.42
68,12/3/2022,75087067,NIKE,สปอร์ตบรา Swoosh Pack รุ่น DB9553430,sports,apparels,2,0,0,0,1300,481.31,962.62,0,0,NA,NA,0,NA
69,8/10/2021,MJT50084487,MUJI,Cloth For Glasses 14 Sheet 5816446088 White,women,eyewear,13,0,0,0,35,32.71,425.23,0,0,NA,NA,0,NA
70,30/1/2022,851672,Irontec,Treadmill Silicone Spray 400ML (Formula Especially Made For Treadmill),sports,equipments,1,0,0,0,500,327.1,327.1,0,0,NA,NA,0,33.25
71,7/5/2022,16655393,ESQUIRE,หมอนหนุน Contour Memory Foam สีขาว,tion-campaign,flash-deal-6-jul-22,6,0,0,0,2790,466.36,2798.16,0,0,NA,NA,0,1225
72,9/9/2021,75086886,NIKE,W DF SWSH 1PP BRA PI M,sports,apparels,2,0,0,0,1300,559.81,1018.86,100.76,100.76,NA,NA,0,-317.5
73,31/5/2022,17062244,Lifree,Rehabili Pants White Size XL ,home,eldery-care,1,0,0,0,2196,1438.32,1438.32,0,0,NA,NA,0,313.5
74,5/1/2022,MJT51021009,MUJI,Gel Ink Pen Set 5148990009 Black Size 0.5,jewelry-watches,pens,3,0,0,0,150,92.52,277.56,0,0,NA,NA,0,NA
75,16/3/2022,70208764,PiPPER STANDARD,น้ำยาล้างห้องน้ำฆ่าเชื้อ400,tion-campaign,flash-deal-7-jul-22,9,0,0,0,189,176.64,895.25,694.51,694.51,614.7,79.82,0,434.5
